doi,cleaned_feature
10.1103/PhysRevD.99.122002,narrow band search gravitational wave known pulsar using second ligo observing run physical american physical society aps
10.1145/3309697.3331480,everything know intel sgx performance virtualized system abstract sigmetrics performance joint international conference measurement modeling computer system association computing machinery acm
10.1103/PhysRevA.100.013624,towards measurement debye length large magneto optical trap physical american physical society aps
10.1109/IGCC.2018.8752131,appliance identification different electrical signature using moving average data preparation ninth international green sustainable computing conference igsc institute electrical electronics engineer ieee
10.1364/OE.27.021794,dispersion f pulse band edge cholesteric liquid crystal optic express optical society
10.1214/19-EJS1565,multivariate adaptive warped kernel estimation electronic statistic institute mathematical statistic
10.1109/CCGRID.2019.00047,cost acking data stream processing system th ieee acm international symposium cluster cloud grid computing ccgrid institute electrical electronics engineer ieee
10.1108/JKM-06-2018-0353,humility facilitate knowledge sharing investigating role humble knowledge inquiry response knowledge management emerald
10.1109/LPT.2019.2924652,refractive index sensor interrogation etched mgo nanoparticle doped optical fiber signature ieee photonics technology letter institute electrical electronics engineer ieee
10.1103/PhysRevFluids.4.064804,strong turbulence vibrating plate emergence kolmogorov spectrum physical fluid american physical society aps
10.22489/CinC.2018.375,detecting flutter wave electrocardiogram using generalized likelihood ratio test computing cardiology conference cinc computing cardiology
10.25088/ComplexSystems.28.2.197,strong weak spatial segregation multilevel discrimination criterion complex system wolfram research inc
10.1109/FG.2019.8756622,analysis temporal alignment video classification th ieee international conference automatic face gesture recognition fg institute electrical electronics engineer ieee
10.1103/PhysRevE.100.012216,dynamic class nonlinear mirror mode locked laser physical e american physical society aps
10.1029/2019JB017324,seismic aseismic fault growth lead different fault orientation geophysical research solid earth american geophysical union agu
10.1029/2019JB017454,origin regular network joint experimental constraint theoretical background numerical modeling geophysical research solid earth american geophysical union agu
10.1029/2019JE005959,gravitational signature martian volcano geophysical research planet american geophysical union agu
10.1109/CBMS.2019.00099,non invasive live cell cycle monitoring using quantitative phase imaging proximal machine learning method ieee nd international symposium computer based medical system cbms institute electrical electronics engineer ieee
10.1029/2018JB016670,depletion induced seismicity groningen gas field coulomb rate and state model including differential compaction effect geophysical research solid earth american geophysical union agu
10.1109/FG.2019.8756545,characterizing state apathy facial expression motion analysis th ieee international conference automatic face gesture recognition fg institute electrical electronics engineer ieee
10.1002/cphc.201900683,dynamic wetting property mesh substrate tunable water adhesion chemphyschem wiley
10.1002/smr.2208,delta oriented approach support safe reuse black box code rewriter software evolution process wiley
10.1103/PhysRevLett.123.055101,building weakly outgassing comet generalized ohm law physical letter american physical society aps
10.1158/0008-5472.CAN-18-3855,genetic ablation cystine transporter xct pdac cell inhibits mtorc growth survival tumor formation via nutrient oxidative stress cancer research american association cancer research aacr
10.1088/1361-6382/ab2160,generalised uncertainty relation superposition geometry classical quantum gravity iop publishing
10.1364/OL.44.004071,thulium laser mm based upconversion pumping optic letter optical society
10.23919/TMA.2019.8784472,inferring deployment top domain public cloud using dns data network traffic measurement analysis conference tma institute electrical electronics engineer ieee
10.5038/1827-806X.48.1.2252,guano related phosphate rich mineral european cave international speleology university south florida library
10.1364/PRJ.7.000A36,chip based squeezing telecom wavelength photonics research optical society
10.1103/PhysRevLett.123.068102,termination scroll wave surface impact physical letter american physical society aps
10.7554/eLife.47376,sox a mediates ability parapineal impart habenular left right asymmetry elife elife science publication ltd
10.1103/PhysRevA.100.012350,quantum process tomography via optimal design experiment physical american physical society aps
10.1364/OE.27.024154,study efficient semipolar ingan green micro light emitting diode high quality gan sapphire template optic express optical society
10.1007/s10269-012-2175-4,editorial oncologie springer science business medium llc
10.1103/PhysRevLett.123.033602,optical gating resonance fluorescence single germanium vacancy color center diamond physical letter american physical society aps
10.1364/OE.27.022074,distributed fiber optic d shape sensing mean high scattering np doped fiber simultaneous spatial multiplexing optic express optical society
10.1161/HYPERTENSIONAHA.119.13094,proximal tubule specific deletion nhe na sup sup h sup sup exchanger kidney attenuates ang ii angiotensin ii induced hypertension mouse hypertension ovid technology wolters kluwer health
10.1109/ICRA.2019.8794006,closed loop mpc dense visual slam stability reactive stepping international conference robotics automation icra institute electrical electronics engineer ieee
10.1128/JB.00191-19,intracellular bacteria differentiated bacteroid transcriptome metabolome analysis aeschynomene nodule using bradyrhizobium sp strain or bcla mutant bacteriology american society microbiology
10.1137/18M1222454,convergence problem mean field game two state model without uniqueness siam control optimization society industrial applied mathematics siam
10.1109/PRIME.2019.8787742,effect ssn signal power integrity bit microcontroller modeling correlation th conference ph research microelectronics electronics prime institute electrical electronics engineer ieee
10.18293/SEKE2019-054,extending behavior driven development assessing user interface design artifact proceeding st international conference software engineering knowledge engineering ksi research inc
10.1103/PhysRevD.100.024017,sky search short gravitational wave burst second advanced ligo advanced virgo run physical american physical society aps
10.1214/19-EJP298,master equation mean field game limit theory central limit theorem electronic probability institute mathematical statistic
10.1016/B978-0-12-809633-8.90726-X,immune priming trans generational protection parasite encyclopedia animal behavior elsevier bv
10.1161/CIRCRESAHA.119.314793,characterization kcnk mutated rat novel model pulmonary hypertension circulation research ovid technology wolters kluwer health
10.1109/AIKE.2019.00056,decision making multiple crowd opinion ieee second international conference artificial intelligence knowledge engineering aike institute electrical electronics engineer ieee
10.1109/ICSE.2019.00092,multifaceted automated analysis variability intensive embedded system ieee acm st international conference software engineering icse institute electrical electronics engineer ieee
10.1029/2019GL083490,bunce fault strain partitioning northern lesser antilles geophysical research letter american geophysical union agu
10.1029/2019GL083856,illuminating rupturing microseismic source injection induced earthquake experiment geophysical research letter american geophysical union agu
10.1097/RLU.0000000000002707,nivolumab induced pneumonitis patient metastatic melanoma showing complete remission f fdg pet ct clinical nuclear medicine ovid technology wolters kluwer health
10.1364/JOSAB.36.002030,comparison three approach light scattering dilute cold atomic ensemble optical society america b optical society
10.1103/PhysRevA.100.022333,proper error bar self calibrating quantum tomography physical american physical society aps
10.1109/PRIME.2019.8787823,analysis ftb stress propagation integrated circuit th conference ph research microelectronics electronics prime institute electrical electronics engineer ieee
10.1109/FormaliSE.2019.00015,towards sampling simulation based analysis featured weighted automaton ieee acm th international conference formal method software engineering formalise institute electrical electronics engineer ieee
10.23919/ECC.2019.8795880,nonlinear control approach trajectory tracking slender body axisymmetric underactuated underwater vehicle th european control conference ecc institute electrical electronics engineer ieee
10.1103/PhysRevA.100.021401,dressed dense atomic gas physical american physical society aps
10.1364/OE.27.025603,quantum optical frequency conversion polarisation entangled qubits towards interconnected quantum information device optic express optical society
10.7554/eLife.49158,neuronal torc modulates longevity via ampk cell nonautonomous regulation mitochondrial dynamic elegans elife elife science publication ltd
10.1103/PhysRevLett.123.083401,microscopic macroscopic signature d anderson localization light physical letter american physical society aps
10.1103/PhysRevD.100.062001,directional limit persistent gravitational wave using data advanced ligo first two observing run physical american physical society aps
10.1109/COMPSAC.2019.00127,genesis continuous orchestration deployment smart iot system ieee rd annual computer software application conference compsac institute electrical electronics engineer ieee
10.1109/SCC.2019.00022,container wysiwyg ieee international conference service computing scc institute electrical electronics engineer ieee
10.1142/S0217732319503358,effective locality chiral symmetry breaking qcd modern physic letter world scientific pub co pte ltd
10.1103/PhysRevA.100.033833,robustness dicke subradiance thermal decoherence physical american physical society aps
10.1109/ICTON.2019.8840208,nanoparticles optical waveguide toolbox promote laser amplifier sensor st international conference transparent optical network icton institute electrical electronics engineer ieee
10.1117/12.2535988,nanobob cubesat mission concept quantum communication experiment uplink configuration international conference space optic icso spie intl soc optical eng
10.1103/PhysRevC.100.034004,embedding nuclear physic inside unitary limit window physical american physical society aps
10.1103/PhysRevD.100.061101,search isotropic stochastic background using data advanced ligo second observing run physical american physical society aps
10.1109/ICTON.2019.8840499,molecular dynamic simulation rare earth doped nanoparticles silica matrix drawing preform fiber st international conference transparent optical network icton institute electrical electronics engineer ieee
10.5755/j01.mech.25.4.22713,study analysis magneto mechanical behavior smart composite sandwich beam elastomer mechanic kaunas university technology ktu
10.1109/ICTON.2019.8839990,complex dynamic long cavity laser st international conference transparent optical network icton institute electrical electronics engineer ieee
10.1109/ICTON.2019.8840012,sio sno photonic glass ceramic st international conference transparent optical network icton institute electrical electronics engineer ieee
10.1109/ICIOT.2019.00021,advance deployment orchestration approach iot systematic ieee international congress internet thing iciot institute electrical electronics engineer ieee
10.1103/PhysRevLett.123.117401,optical phase transition semiconductor quantum metamaterials physical letter american physical society aps
10.1109/ICTON.2019.8840511,field representation scattering electromagnetic wave several obstacle st international conference transparent optical network icton institute electrical electronics engineer ieee
10.1103/PhysRevA.100.033608,two photon rabi hubbard jaynes cummings hubbard model photon pair superradiance mott insulator normal phase physical american physical society aps
10.1109/ICTON.2019.8840375,chip based compact squeezing experiment telecom wavelength st international conference transparent optical network icton institute electrical electronics engineer ieee
10.1109/TIP.2019.2928895,super resolution hyperspectral multispectral image fusion accounting seasonal spectral variability ieee transaction image processing institute electrical electronics engineer ieee
10.1103/PhysRevFluids.4.093502,thermoelectric convection dielectric liquid inside cylindrical annulus solid body rotation physical fluid american physical society aps
10.1103/PhysRevD.100.024004,sky search continuous gravitational wave isolated neutron star using advanced ligo o data physical american physical society aps
10.1109/ISBI.2019.8759501,adaptative threshold operator taking shape account application mitochondrial network segmentation ieee th international symposium biomedical imaging isbi institute electrical electronics engineer ieee
10.5978/islsm.28_19-OR-14,antimicrobial effect candida albicans biofilm application different wavelength dye synthetic killer decapeptide kp laser therapy international phototherapy association
10.1109/IWCMC.2019.8766456,performance topology based data routing regard radio connectivity vanet th international wireless communication mobile computing conference iwcmc institute electrical electronics engineer ieee
10.1109/ISBI.2019.8759567,new method l l minimization application d single molecule localization microscopy ieee th international symposium biomedical imaging isbi institute electrical electronics engineer ieee
10.1103/PhysRevE.100.043104,phase transition time reversible navier stokes equation physical e american physical society aps
10.1109/USNC-URSI.2019.8861755,d printed double ridged waveguide array antenna targeting high efficiency ku band satcom move application usnc ursi radio science meeting joint ap symposium institute electrical electronics engineer ieee
10.1128/IAI.00556-19,antimalarial activity human group iia secreted phospholipase sub sub relation enzymatic hydrolysis oxidized lipoprotein infection immunity american society microbiology
10.1109/GROUP4.2019.8853883,ultra low threshold cw lasing tensile strained gesn microdisk cavity ieee th international conference group iv photonics gfp institute electrical electronics engineer ieee
10.4171/RLM/862,maximal function characterisation absolutely continuous measure sobolev function rendiconti lincei matematica e applicazioni european mathematical society em publishing house gmbh
10.5978/islsm.28_19-CR-02,er yag laser aesthetic treatment developmental enamel defect frontal teeth case report laser therapy international phototherapy association
10.1177/0271678X19873662,urinary ketone body loss lead degeneration brain white matter elderly slc a deficient mouse cerebral blood flow metabolism sage publication
10.1364/OE.27.030360,anisotropic nonlinear refractive index measurement photorefractive crystal via spatial self phase modulation optic express optical society
10.7554/eLife.45465,extraocular rod like photoreceptors flatworm express xenopsin photopigment elife elife science publication ltd
10.1103/PhysRevLett.123.161103,constraining mass graviton planetary ephemeris inpop physical letter american physical society aps
10.1142/S0218127419501116,complex canard explosion fractional order fitzhugh nagumo model international bifurcation chaos world scientific pub co pte ltd
10.1161/ATVBAHA.119.312537,inhibition chk checkpoint kinase elicits therapeutic effect pulmonary arterial hypertension arteriosclerosis thrombosis vascular biology ovid technology wolters kluwer health
10.1109/CAMAD.2019.8858451,power efficient packet scheduling m m device lte lte technology ieee th international workshop computer aided modeling design communication link network camad institute electrical electronics engineer ieee
10.1103/PhysRevD.100.064064,search intermediate mass black hole binary first second observing run advanced ligo virgo network physical american physical society aps
10.1109/TNSRE.2019.2936411,unsupervised common spatial pattern ieee transaction neural system rehabilitation engineering institute electrical electronics engineer ieee
10.1109/IJCNN.2019.8852098,self organizing neuron toward brain inspired unsupervised learning international joint conference neural network ijcnn institute electrical electronics engineer ieee
10.5603/IMH.2019.0026,acute coronary syndrome antarctica international maritime health vm medium sp zo vm group sk
10.1103/PhysRevLett.123.161102,search subsolar mass ultracompact binary advanced ligo second observing run physical letter american physical society aps
10.1029/2018JE005872,thickness lunar mare basalt new result based modeling degradation partially buried crater geophysical research planet american geophysical union agu
10.1109/HPSR.2018.8850754,efficient make break capacity defragmentation ieee th international conference high performance switching routing hpsr institute electrical electronics engineer ieee
10.1103/PhysRevB.100.165114,dominant charge density wave correlation holstein model half filled square lattice physical b american physical society aps
10.1109/CLEOE-EQEC.2019.8873060,characterization integration operation w solid state amplifier advanced virgo pre stabilized laser system conference laser electro optic europe european quantum electronics conference cleo europe eqec institute electrical electronics engineer ieee
10.1109/CLEOE-EQEC.2019.8873018,hyperspectral imaging bio inspired tilted cholesteric liquid crystal structure conference laser electro optic europe european quantum electronics conference cleo europe eqec institute electrical electronics engineer ieee
10.1109/CLEOE-EQEC.2019.8872795,inversion symmetry breaking cold atomic spin pattern conference laser electro optic europe european quantum electronics conference cleo europe eqec institute electrical electronics engineer ieee
10.1029/2018JB017053,joint inversion coseismic early postseismic slip optimize information content geodetic data application sub w sub aquila earthquake central italy geophysical research solid earth american geophysical union agu
10.1016/S1877-1203(19)30087-4,nouveaux outils biologiques ameliorer depistage cancer bronchique revue malady respiratoires actualites elsevier bv
10.1109/CLEOE-EQEC.2019.8872272,chip photon pair source pump rejection filter conference laser electro optic europe european quantum electronics conference cleo europe eqec institute electrical electronics engineer ieee
10.1364/OL.44.005161,coherence transfer akinetic swept source oct laser optical feedback optic letter optical society
10.1109/CLEOE-EQEC.2019.8872356,dark pulse long ring laser conference laser electro optic europe european quantum electronics conference cleo europe eqec institute electrical electronics engineer ieee
10.1109/CLEOE-EQEC.2019.8872366,thermally induced nonlinear spatial shaping infrared femtosecond pulse nematic liquid crystal conference laser electro optic europe european quantum electronics conference cleo europe eqec institute electrical electronics engineer ieee
10.1103/PhysRevX.9.031040,gwtc gravitational wave transient catalog compact binary merger observed ligo virgo first second observing run physical x american physical society aps
10.1109/CLEOE-EQEC.2019.8871509,dispersion measurement femtosecond pulse photonic band gap edge cholesteric liquid crystal conference laser electro optic europe european quantum electronics conference cleo europe eqec institute electrical electronics engineer ieee
10.1088/1748-0221/14/09/C09019,plasma boundary reconstruction isttok using magnetic diagnostic data instrumentation iop publishing
10.1109/CLEOE-EQEC.2019.8873105,optoelectronic device based zno znmgo conference laser electro optic europe european quantum electronics conference cleo europe eqec institute electrical electronics engineer ieee
10.1109/CLEOE-EQEC.2019.8872783,atomic interaction via diffractive light coupling conference laser electro optic europe european quantum electronics conference cleo europe eqec institute electrical electronics engineer ieee
10.1109/CLEOE-EQEC.2019.8872959,third order dispersion optical time delayed system case mode locked vertical external cavity surface emitting laser conference laser electro optic europe european quantum electronics conference cleo europe eqec institute electrical electronics engineer ieee
10.1109/ICEAA.2019.8879308,block meshing tlm based approach low frequency antenna characterization international conference electromagnetics advanced application iceaa institute electrical electronics engineer ieee
10.1109/ISWCS.2019.8877276,characteristic mode theory enhance isolation level full duplex g mobile handset th international symposium wireless communication system iswcs institute electrical electronics engineer ieee
10.1109/CLEOE-EQEC.2019.8872563,towards semiconductor based metasurfaces conference laser electro optic europe european quantum electronics conference cleo europe eqec institute electrical electronics engineer ieee
10.1109/CLEOE-EQEC.2019.8872400,temporal localized structure mode locked vertical external cavity surface emitting laser conference laser electro optic europe european quantum electronics conference cleo europe eqec institute electrical electronics engineer ieee
10.1364/OE.27.032323,large optical depth frequency modulation spectroscopy optic express optical society
10.1109/CLEOE-EQEC.2019.8872567,operational description single photon detector including timing jitter effect conference laser electro optic europe european quantum electronics conference cleo europe eqec institute electrical electronics engineer ieee
10.1109/CLEOE-EQEC.2019.8871809,plug play generation manipulation squeezing chip conference laser electro optic europe european quantum electronics conference cleo europe eqec institute electrical electronics engineer ieee
10.1016/j.kine.2019.09.003,potentiels freins promouvoir l acces direct france analyse pratiques professionnelles aupres kinesitherapeutes liberaux alpes maritimes etude exploratoire kinesitherapie revue elsevier bv
10.1109/DSD.2019.00050,information coding hardware architecture spiking neural network nd euromicro conference digital system design dsd institute electrical electronics engineer ieee
10.1109/IRMMW-THz.2019.8874475,ghz band gbit dual channel link using industrial silicon photonics technology th international conference infrared millimeter terahertz wave irmmw thz institute electrical electronics engineer ieee
10.1029/2019JB017500,influence grain boundary structural evolution pressure solution creep rate geophysical research solid earth american geophysical union agu
10.1029/2019JB017732,lower crustal heterogeneity beneath northern tibetan plateau constrained gps measurement following mw kokoxili earthquake geophysical research solid earth american geophysical union agu
10.1109/IRMMW-THz.2019.8874114,thz link using tube amplifier steerable beam indoor application th international conference infrared millimeter terahertz wave irmmw thz institute electrical electronics engineer ieee
10.3233/FI-2020-1879,hard predict sandpile lattice survey fundamenta informaticae io press
10.23919/EUSIPCO.2019.8902596,compressed sensing extraction atrial fibrillation pattern surface electrocardiogram th european signal processing conference eusipco institute electrical electronics engineer ieee
10.23919/EUSIPCO.2019.8902583,biologically constrained encoding solution long term storage image onto synthetic dna th european signal processing conference eusipco institute electrical electronics engineer ieee
10.23919/EUSIPCO.2019.8903179,efficiency bio inspired leaky integrate fire neuron signal coding th european signal processing conference eusipco institute electrical electronics engineer ieee
10.23919/EUSIPCO.2019.8902493,lowner based tensor decomposition blind source separation atrial fibrillation ecg th european signal processing conference eusipco institute electrical electronics engineer ieee
10.23919/EUSIPCO.2019.8902770,tensor train modeling mimo ofdm tensor coding forwarding relay system th european signal processing conference eusipco institute electrical electronics engineer ieee
10.1109/WCNPS.2019.8896279,multidimensional cx decomposition tensor workshop communication network power system wcnps institute electrical electronics engineer ieee
10.1029/2019JA026919,short long wavelength tids generated great american eclipse august geophysical research space physic american geophysical union agu
10.24033/bsmf.2789,holomorphic riemannian metric fundamental group bulletin societe mathematique france societe mathematique france
10.1109/APUSNCURSINRSM.2019.8889240,study method increasing isolation closely spaced element integrated multi standard multi antenna system ieee international symposium antenna propagation usnc ursi radio science meeting institute electrical electronics engineer ieee
10.1029/2018TC005348,nappe marbres unit basque cantabrian basin tectono thermal evolution fossil hyperextended rift basin tectonics american geophysical union agu
10.1103/PhysRevApplied.12.054007,observation intersubband absorption zno coupled quantum well physical applied american physical society aps
10.1364/OPTICA.6.001437,quantum fisher information coherence optica optical society
10.23919/EUSIPCO.2019.8902719,two way mimo decode forward relaying system tensor space time coding th european signal processing conference eusipco institute electrical electronics engineer ieee
10.1109/MODELS-C.2019.00092,devops meet meta learning portfolio rule acm ieee nd international conference model driven engineering language system companion model institute electrical electronics engineer ieee
10.1103/PhysRevD.100.104004,noise spectral estimation method impact gravitational wave measurement compact binary merger physical american physical society aps
10.1103/PhysRevA.100.053835,wave condensation weak disorder versus beam self cleaning multimode fiber physical american physical society aps
10.1109/APUSNCURSINRSM.2019.8888492,flexible reconfigurable antenna robust folding wearable application ieee international symposium antenna propagation usnc ursi radio science meeting institute electrical electronics engineer ieee
10.23919/EUSIPCO.2019.8902826,learning causal network topology streaming graph signal th european signal processing conference eusipco institute electrical electronics engineer ieee
10.1016/j.nantod.2019.100824,novel property application chiral inorganic nanostructures nano today elsevier bv
10.26615/978-954-452-056-4_038,song lyric summarization inspired audio thumbnailing proceeding natural language processing deep learning world assoc computational linguistics bulgaria
10.1016/j.entcs.2019.08.038,unavoidability oriented tree electronic note theoretical computer science elsevier bv
10.1017/S095679251900038X,non local traffic flow model junction european applied mathematics cambridge university press cup
10.1103/PhysRevB.100.235103,nonclassicality spin structure condensed matter analysis sr cu o physical b american physical society aps
10.1103/PhysRevD.100.104047,shortcoming shapiro delay based test equivalence principle cosmological scale physical american physical society aps
10.1103/PhysRevLett.123.231108,increasing astrophysical reach advanced virgo detector via application squeezed vacuum state light physical letter american physical society aps
10.1364/JOSAB.36.002989,influence spatial dispersion surface plasmons nanoparticles grating coupler optical society america b optical society
10.1103/PhysRevD.100.122002,search gravitational wave scorpius x second advanced ligo observing run improved hidden markov model physical american physical society aps
10.1103/PhysRevA.100.050101,optical lattice based method precise measurement atomic parity violation physical american physical society aps
10.1029/2019JE006019,unraveling mechanic thermal stress weathering rate effect size effect scaling law geophysical research planet american geophysical union agu
